M01.flow,M01.p50,M01.p95,M01.p98,M01.p99,M01.population,M01.prot.flow,M01.prot.p50,M01.prot.p95,M01.prot.p98,M01.prot.p99,M01.status,M02,M02.population,M02.prot,M02.status,M03.configured_period_ms,M03.flow,M03.gap_count_over_t_live,M03.gap_count_over_t_live_over_2,M03.gap_count_over_t_live_over_4,M03.max_gap_ms,M03.median_gap_ms,M03.population,M03.prot.configured_period_ms,M03.prot.flow,M03.prot.gap_count_over_t_live,M03.prot.gap_count_over_t_live_over_2,M03.prot.gap_count_over_t_live_over_4,M03.prot.max_gap_ms,M03.prot.median_gap_ms,M03.prot.role,M03.prot.t_live_s,M03.role,M03.status,M03.t_live_s,M04.exceeds_threshold,M04.flow,M04.population,M04.prot.exceeds_threshold,M04.prot.flow,M04.prot.threshold_n,M04.prot.worst_consecutive_miss_slots,M04.status,M04.threshold_n,M04.worst_consecutive_miss_slots,M05.flow,M05.fraction,M05.frame_count,M05.pdb_ms,M05.population,M05.prot.flow,M05.prot.fraction,M05.prot.frame_count,M05.prot.pdb_ms,M05.status,M06.flow,M06.p95_ms,M06.population,M06.prot.flow,M06.prot.p95_ms,M06.status,M07.met,M07.population,M07.prot.met,M07.prot.total,M07.status,M07.total,M08.flow,M08.fraction,M08.population,M08.prot.flow,M08.prot.fraction,M08.status,M09.mean,M09.population,M09.prot.mean,M09.prot.windows,M09.prot.worst,M09.status,M09.windows,M09.worst,M10,M10.status,M11.dl,M11.status,M11.ul,M12,M12.status,M14.flow,M14.fraction,M14.interval_count,M14.pdb_ms,M14.population,M14.prot.flow,M14.prot.fraction,M14.prot.interval_count,M14.prot.pdb_ms,M14.prot.role,M14.prot.survival_time_ms,M14.role,M14.status,M14.survival_time_ms,M15.flow,M15.jitter_ms,M15.population,M15.prot.flow,M15.prot.jitter_ms,M15.status,M17.effective_fps,M17.flow,M17.freeze_count,M17.freeze_max_duration_ms,M17.freeze_total_duration_ms,M17.population,M17.prot.effective_fps,M17.prot.flow,M17.prot.freeze_count,M17.prot.freeze_max_duration_ms,M17.prot.freeze_total_duration_ms,M17.prot.source_fps,M17.prot.xr_frame_period_ms,M17.source_fps,M17.status,M17.xr_frame_period_ms,M18,M18.population,M18.prot,M18.status,M19,M19.population,M19.prot,M19.status,M20.configured_period_ms,M20.excluded_5qi,M20.flow,M20.gap_count_over_t_live,M20.gap_count_over_t_live_over_2,M20.gap_count_over_t_live_over_4,M20.max_gap_ms,M20.median_gap_ms,M20.role,M20.status,M20.t_live_s,M21,M21.population,M21.prot,M21.status,M22.epochs,M22.flows_scored,M22.longest_epoch_s,M22.min_epoch_s,M22.population,M22.prot.epochs,M22.prot.flows_scored,M22.prot.longest_epoch_s,M22.prot.min_epoch_s,M22.prot.worst_flow,M22.status,M22.worst_flow,bg,scheduler,seed
ue8_qfi9,298.0,300.0,300.25,300.25,all_flows,ue6_qfi1,4.5,17.75,43.0,43.0,ok,0.2774820829809459,all_flows,0.0,ok,100.0,ue6_qfi1,0,0,0,138.2499999999999,99.49999999999991,all_flows,100.0,ue6_qfi1,0,0,0,138.2499999999999,99.49999999999991,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue1_qfi2,1.0,152,150.0,all_flows,ue1_qfi2,1.0,152,150.0,ok,ue8_qfi2,25.5,all_flows,ue8_qfi2,25.5,ok,8,all_flows,8,8,ok,8,ue2_qfi2,0.9578576,all_flows,ue2_qfi2,0.9578576,ok,0.9542077056044128,all_flows,0.9999348941924057,5,0.999903642220896,proxy,5,0.9512253873649195,67382022.4,ok,0.011011363636363637,ok,0.9299579545454545,0.0377015625,ok,ue2_qfi1,0.4489795918367347,49,100.0,all_flows,ue2_qfi1,0.4489795918367347,49,100.0,data,0.0,data,ok,0.0,ue6_qfi1,38.5,all_flows,ue6_qfi1,38.5,ok,30.4,ue1_qfi2,0,0.0,0.0,all_flows,30.4,ue1_qfi2,0,0.0,0.0,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue6_qfi1,0,0,0,138.2499999999999,99.49999999999991,data,ok,2.0,,all_flows,,pending,0,32,0.0,1.0,all_flows,0,24,0.0,1.0,,ok,,False,PF,1826701614
ue8_qfi9,297.5,300.0,300.25,300.25,all_flows,ue5_qfi1,12.75,34.5,55.25,55.25,ok,0.4361130309037507,all_flows,0.0,ok,100.0,ue6_qfi1,0,0,0,152.00000000000003,100.75000000000011,all_flows,100.0,ue6_qfi1,0,0,0,152.00000000000003,100.75000000000011,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue8_qfi2,0.993421052631579,152,150.0,all_flows,ue8_qfi2,0.993421052631579,152,150.0,ok,ue7_qfi2,34.058,all_flows,ue7_qfi2,34.058,ok,8,all_flows,8,8,ok,8,ue2_qfi2,0.9578576,all_flows,ue2_qfi2,0.9578576,ok,0.8921655543528763,all_flows,0.9998117240892077,5,0.9997346696864456,proxy,5,0.8841296600415739,52661862.4,ok,0.011606818181818182,ok,0.7414863636363637,0.0748484375,ok,ue1_qfi1,0.4489795918367347,49,100.0,all_flows,ue1_qfi1,0.4489795918367347,49,100.0,data,0.0,data,ok,0.0,ue5_qfi1,42.5,all_flows,ue5_qfi1,42.5,ok,30.2,ue8_qfi2,1,94.25,94.25,all_flows,30.2,ue8_qfi2,1,94.25,94.25,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue6_qfi1,0,0,0,152.00000000000003,100.75000000000011,data,ok,2.0,,all_flows,,pending,0,32,0.0,1.0,all_flows,0,24,0.0,1.0,,ok,,False,Reservation,1826701614
ue5_qfi9,290.75,299.75,300.0,300.25,all_flows,ue4_qfi2,29.066,83.404,96.75,107.023,ok,0.26593893344061226,all_flows,0.1223737877077393,ok,100.0,ue4_qfi1,0,0,0,316.7499999999999,100.87500000000004,all_flows,100.0,ue4_qfi1,0,0,0,316.7499999999999,100.87500000000004,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue8_qfi2,0.0,148,150.0,all_flows,ue8_qfi2,0.0,148,150.0,ok,ue4_qfi2,105.75,all_flows,ue4_qfi2,105.75,ok,6,all_flows,6,8,ok,8,ue8_qfi2,0.0,all_flows,ue8_qfi2,0.0,ok,0.8583099465837407,all_flows,0.9002069179963156,5,0.8748507627222859,proxy,5,0.8315987251094377,67928027.2,ok,0.011120454545454546,ok,0.9301920454545455,0.0356484375,ok,ue4_qfi1,0.38461538461538464,26,100.0,all_flows,ue4_qfi1,0.38461538461538464,26,100.0,data,0.0,data,ok,0.0,ue2_qfi9,117.25,all_flows,ue4_qfi1,85.5,ok,30.0,ue4_qfi2,6,97.25,497.25,all_flows,30.0,ue4_qfi2,6,97.25,497.25,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue4_qfi1,0,0,0,316.7499999999999,100.87500000000004,data,ok,2.0,,all_flows,,pending,5,32,5.0,1.0,all_flows,3,24,4.98325,1.0,ue8_qfi2,ok,ue8_qfi9,False,TwoTier,1826701614
ue8_qfi9,297.5,299.75,300.0,300.25,all_flows,ue5_qfi1,7.0,18.25,45.25,45.25,ok,0.26635377308140895,all_flows,0.0,ok,100.0,ue5_qfi1,0,0,0,139.9999999999997,100.49999999999982,all_flows,100.0,ue5_qfi1,0,0,0,139.9999999999997,100.49999999999982,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue7_qfi2,0.993421052631579,152,150.0,all_flows,ue7_qfi2,0.993421052631579,152,150.0,ok,ue5_qfi2,25.638,all_flows,ue5_qfi2,25.638,ok,8,all_flows,8,8,ok,8,ue3_qfi2,0.9587068000000001,all_flows,ue3_qfi2,0.9587068000000001,ok,0.956417211768315,all_flows,0.9999635062779086,5,0.9999254543286267,proxy,5,0.9447430409465871,68374289.6,ok,0.010852272727272728,ok,0.9311306818181818,0.0348140625,ok,ue5_qfi1,0.4489795918367347,49,100.0,all_flows,ue5_qfi1,0.4489795918367347,49,100.0,data,0.0,data,ok,0.0,ue5_qfi1,38.25,all_flows,ue5_qfi1,38.25,ok,30.4,ue1_qfi2,0,0.0,0.0,all_flows,30.4,ue1_qfi2,0,0.0,0.0,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue5_qfi1,0,0,0,139.9999999999997,100.49999999999982,data,ok,2.0,,all_flows,,pending,0,32,0.0,1.0,all_flows,0,24,0.0,1.0,,ok,,False,PF,1367864806
ue8_qfi9,295.75,299.75,300.0,300.25,all_flows,ue6_qfi1,10.5,24.0,32.0,32.0,ok,0.4249473889372048,all_flows,0.24186667480157698,ok,100.0,ue6_qfi1,0,0,0,125.75000000000003,99.49999999999991,all_flows,100.0,ue6_qfi1,0,0,0,125.75000000000003,99.49999999999991,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue3_qfi2,0.0,147,150.0,all_flows,ue3_qfi2,0.0,147,150.0,ok,ue6_qfi2,26.356,all_flows,ue6_qfi2,26.356,ok,6,all_flows,6,8,ok,8,ue3_qfi2,0.0,all_flows,ue3_qfi2,0.0,ok,0.7864173073814718,all_flows,0.8332419557006331,5,0.8331857763013152,proxy,5,0.7771308408952857,53454553.6,ok,0.0116,ok,0.7446,0.07026875,ok,ue8_qfi1,0.42857142857142855,49,100.0,all_flows,ue8_qfi1,0.42857142857142855,49,100.0,data,0.0,data,ok,0.0,ue8_qfi1,23.5,all_flows,ue8_qfi1,23.5,ok,30.4,ue1_qfi2,0,0.0,0.0,all_flows,30.4,ue1_qfi2,0,0.0,0.0,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue6_qfi1,0,0,0,125.75000000000003,99.49999999999991,data,ok,2.0,,all_flows,,pending,6,32,5.0,1.0,all_flows,4,24,4.98325,1.0,ue3_qfi2,ok,ue3_qfi9,False,Reservation,1367864806
ue6_qfi9,288.5,299.75,300.0,300.25,all_flows,ue6_qfi2,7.098,19.773,32.583,64.572,ok,0.2764474674870795,all_flows,0.24538380017561698,ok,100.0,ue1_qfi1,0,0,0,140.74999999999972,100.00000000000009,all_flows,100.0,ue1_qfi1,0,0,0,140.74999999999972,100.00000000000009,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue7_qfi2,0.0,148,150.0,all_flows,ue7_qfi2,0.0,148,150.0,ok,ue1_qfi2,46.453,all_flows,ue1_qfi2,46.453,ok,6,all_flows,6,8,ok,8,ue7_qfi2,0.0,all_flows,ue7_qfi2,0.0,ok,0.807539791118139,all_flows,0.8332510979591923,5,0.8331550238003477,proxy,5,0.8005080178319893,66790987.2,ok,0.010761363636363637,ok,0.9313727272727272,0.0355421875,ok,ue1_qfi1,0.4897959183673469,49,100.0,all_flows,ue1_qfi1,0.4897959183673469,49,100.0,data,0.0,data,ok,0.0,ue2_qfi9,202.5,all_flows,ue6_qfi2,57.474000000000004,ok,30.4,ue2_qfi2,9,92.25,704.25,all_flows,30.4,ue2_qfi2,9,92.25,704.25,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue1_qfi1,0,0,0,140.74999999999972,100.00000000000009,data,ok,2.0,,all_flows,,pending,6,32,5.0,1.0,all_flows,4,24,4.98325,1.0,ue7_qfi2,ok,ue7_qfi9,False,TwoTier,1367864806
ue8_qfi9,297.75,300.0,300.0,300.25,all_flows,ue3_qfi1,4.75,21.75,29.5,29.5,ok,0.2833757639587146,all_flows,0.0,ok,100.0,ue6_qfi1,0,0,0,122.50000000000006,100.00000000000009,all_flows,100.0,ue6_qfi1,0,0,0,122.50000000000006,100.00000000000009,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue8_qfi2,0.993421052631579,152,150.0,all_flows,ue8_qfi2,0.993421052631579,152,150.0,ok,ue3_qfi2,25.601,all_flows,ue3_qfi2,25.601,ok,8,all_flows,8,8,ok,8,ue8_qfi2,0.9667652,all_flows,ue8_qfi2,0.9667652,ok,0.9530930690694106,all_flows,0.9999256438763364,5,0.9998244418176561,proxy,5,0.946981276987891,66997656.0,ok,0.011275,ok,0.9311693181818181,0.0357453125,ok,ue5_qfi1,0.46938775510204084,49,100.0,all_flows,ue5_qfi1,0.46938775510204084,49,100.0,data,0.0,data,ok,0.0,ue3_qfi1,24.75,all_flows,ue3_qfi1,24.75,ok,30.2,ue8_qfi2,1,70.25,70.25,all_flows,30.2,ue8_qfi2,1,70.25,70.25,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue6_qfi1,0,0,0,122.50000000000006,100.00000000000009,data,ok,2.0,,all_flows,,pending,0,32,0.0,1.0,all_flows,0,24,0.0,1.0,,ok,,False,PF,1097657231
ue8_qfi9,297.25,300.0,300.25,300.25,all_flows,ue5_qfi1,7.25,29.25,43.25,43.25,ok,0.4368964752676189,all_flows,0.12012404785907388,ok,100.0,ue7_qfi1,0,0,0,135.00000000000023,99.49999999999991,all_flows,100.0,ue7_qfi1,0,0,0,135.00000000000023,99.49999999999991,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue4_qfi2,0.0,147,150.0,all_flows,ue4_qfi2,0.0,147,150.0,ok,ue6_qfi2,30.773,all_flows,ue6_qfi2,30.773,ok,7,all_flows,7,8,ok,8,ue4_qfi2,0.0,all_flows,ue4_qfi2,0.0,ok,0.8426743751424661,all_flows,0.9165425388082286,5,0.9164263809418413,proxy,5,0.8369267033216353,52718153.6,ok,0.011711363636363636,ok,0.7418806818181818,0.0708484375,ok,ue3_qfi1,0.42857142857142855,49,100.0,all_flows,ue3_qfi1,0.42857142857142855,49,100.0,data,0.0,data,ok,0.0,ue5_qfi1,36.0,all_flows,ue5_qfi1,36.0,ok,30.4,ue1_qfi2,0,0.0,0.0,all_flows,30.4,ue1_qfi2,0,0.0,0.0,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue7_qfi1,0,0,0,135.00000000000023,99.49999999999991,data,ok,2.0,,all_flows,,pending,3,32,5.0,1.0,all_flows,2,24,4.98325,1.0,ue4_qfi2,ok,ue4_qfi9,False,Reservation,1097657231
ue3_qfi9,132.0,299.25,299.75,300.0,all_flows,ue5_qfi1,3.25,14.75,59.25,59.25,ok,0.2739532308901659,all_flows,0.2430380573844168,ok,100.0,ue1_qfi1,0,0,0,140.74999999999994,100.24999999999994,all_flows,100.0,ue1_qfi1,0,0,0,140.74999999999994,100.24999999999994,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue7_qfi2,0.0,148,150.0,all_flows,ue7_qfi2,0.0,148,150.0,ok,ue2_qfi2,25.574,all_flows,ue2_qfi2,25.574,ok,6,all_flows,6,8,ok,8,ue7_qfi2,0.0,all_flows,ue7_qfi2,0.0,ok,0.8067310905729403,all_flows,0.8332630268986122,5,0.8332188967106329,proxy,5,0.8046751579157652,67037208.0,ok,0.011240909090909091,ok,0.9316443181818181,0.034390625,ok,ue2_qfi1,0.42857142857142855,49,100.0,all_flows,ue2_qfi1,0.42857142857142855,49,100.0,data,0.0,data,ok,0.0,ue2_qfi9,183.5,all_flows,ue5_qfi1,56.0,ok,30.4,ue2_qfi2,3,101.0,248.75,all_flows,30.4,ue2_qfi2,3,101.0,248.75,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue1_qfi1,0,0,0,140.74999999999994,100.24999999999994,data,ok,2.0,,all_flows,,pending,6,32,5.0,1.0,all_flows,4,24,4.98325,1.0,ue7_qfi2,ok,ue7_qfi9,False,TwoTier,1097657231
ue8_qfi9,297.75,300.0,300.0,300.25,all_flows,ue2_qfi1,8.5,19.5,47.25,47.25,ok,0.24830402281203837,all_flows,0.0,ok,100.0,ue2_qfi1,0,0,0,138.00000000000034,100.00000000000009,all_flows,100.0,ue2_qfi1,0,0,0,138.00000000000034,100.00000000000009,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue1_qfi2,1.0,152,150.0,all_flows,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,25.639,all_flows,ue2_qfi2,25.639,ok,8,all_flows,8,8,ok,8,ue8_qfi2,0.9636376,all_flows,ue8_qfi2,0.9636376,ok,0.9622803023674745,all_flows,0.9999626604242866,5,0.9999464031966556,proxy,5,0.9578717028854181,70062526.4,ok,0.010363636363636363,ok,0.9314238636363636,0.0344203125,ok,ue2_qfi1,0.4897959183673469,49,100.0,all_flows,ue2_qfi1,0.4897959183673469,49,100.0,data,0.0,data,ok,0.0,ue2_qfi1,38.75,all_flows,ue2_qfi1,38.75,ok,30.4,ue1_qfi2,0,0.0,0.0,all_flows,30.4,ue1_qfi2,0,0.0,0.0,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue2_qfi1,0,0,0,138.00000000000034,100.00000000000009,data,ok,2.0,,all_flows,,pending,0,32,0.0,1.0,all_flows,0,24,0.0,1.0,,ok,,False,PF,579362555
