scheduler,seed,n_ues,load_mult,shared_lcg,k2_slots,M07.met,M07.total,M08.fraction,wall_s
PF,1826701614,2,1.0,False,2,2,2,0.9811892,1.1
PF,1367864806,2,1.0,False,2,2,2,0.9628871999999999,1.1
PF,1097657231,2,1.0,False,2,2,2,0.9745048000000001,1.1
PF,579362555,2,1.0,False,2,2,2,0.9641224,1.1
PF,661058651,2,1.0,False,2,2,2,0.9543088000000001,1.1
PF,87989972,2,1.0,False,2,2,2,0.964992,1.1
PF,161576974,2,1.0,False,2,2,2,0.9580144,1.1
PF,35492826,2,1.0,False,2,2,2,0.9712076,1.1
PF,376383645,2,1.0,False,2,2,2,0.9739536,1.1
PF,1746484539,2,1.0,False,2,2,2,0.9665368000000001,1.1
PF,1826701614,4,1.0,False,2,4,4,0.959984,2.1
PF,1367864806,4,1.0,False,2,4,4,0.9645452,2.0
PF,1097657231,4,1.0,False,2,4,4,0.9662888000000001,2.0
PF,579362555,4,1.0,False,2,4,4,0.9595132,2.1
PF,661058651,4,1.0,False,2,4,4,0.9635072,2.1
PF,87989972,4,1.0,False,2,4,4,0.9685688,2.1
PF,161576974,4,1.0,False,2,4,4,0.9621716,2.0
PF,35492826,4,1.0,False,2,4,4,0.9766556,2.0
PF,376383645,4,1.0,False,2,4,4,0.9631616,2.1
PF,1746484539,4,1.0,False,2,4,4,0.9617696,2.0
PF,1826701614,8,1.0,False,2,8,8,0.9578576,4.1
PF,1367864806,8,1.0,False,2,8,8,0.959342,4.1
PF,1097657231,8,1.0,False,2,8,8,0.9680356,4.2
PF,579362555,8,1.0,False,2,8,8,0.9636376,4.1
PF,661058651,8,1.0,False,2,8,8,0.9537664,3.9
PF,87989972,8,1.0,False,2,8,8,0.9638684000000001,4.0
PF,161576974,8,1.0,False,2,8,8,0.950306,4.1
PF,35492826,8,1.0,False,2,8,8,0.9690408,4.1
PF,376383645,8,1.0,False,2,8,8,0.9666928,4.0
PF,1746484539,8,1.0,False,2,8,8,0.9658652,4.1
PF,1826701614,16,1.0,False,2,15,16,0.9369436,8.4
PF,1367864806,16,1.0,False,2,15,16,0.9326772,8.2
PF,1097657231,16,1.0,False,2,14,16,0.9424996,7.9
PF,579362555,16,1.0,False,2,14,16,0.9371408,8.0
PF,661058651,16,1.0,False,2,11,16,0.9267004,8.1
