M01.flow,M01.p50,M01.p95,M01.p98,M01.p99,M01.population,M01.prot.flow,M01.prot.p50,M01.prot.p95,M01.prot.p98,M01.prot.p99,M01.status,M02,M02.population,M02.prot,M02.status,M03.configured_period_ms,M03.flow,M03.gap_count_over_t_live,M03.gap_count_over_t_live_over_2,M03.gap_count_over_t_live_over_4,M03.max_gap_ms,M03.median_gap_ms,M03.population,M03.prot.configured_period_ms,M03.prot.flow,M03.prot.gap_count_over_t_live,M03.prot.gap_count_over_t_live_over_2,M03.prot.gap_count_over_t_live_over_4,M03.prot.max_gap_ms,M03.prot.median_gap_ms,M03.prot.role,M03.prot.t_live_s,M03.role,M03.status,M03.t_live_s,M04.exceeds_threshold,M04.flow,M04.population,M04.prot.exceeds_threshold,M04.prot.flow,M04.prot.threshold_n,M04.prot.worst_consecutive_miss_slots,M04.status,M04.threshold_n,M04.worst_consecutive_miss_slots,M05.flow,M05.fraction,M05.frame_count,M05.pdb_ms,M05.population,M05.prot.flow,M05.prot.fraction,M05.prot.frame_count,M05.prot.pdb_ms,M05.status,M06.flow,M06.p95_ms,M06.population,M06.prot.flow,M06.prot.p95_ms,M06.status,M07.met,M07.population,M07.prot.met,M07.prot.total,M07.status,M07.total,M08.flow,M08.fraction,M08.population,M08.prot.flow,M08.prot.fraction,M08.status,M09.mean,M09.population,M09.prot.mean,M09.prot.windows,M09.prot.worst,M09.status,M09.windows,M09.worst,M10,M10.status,M11.dl,M11.status,M11.ul,M12,M12.status,M14.flow,M14.fraction,M14.interval_count,M14.pdb_ms,M14.population,M14.prot.flow,M14.prot.fraction,M14.prot.interval_count,M14.prot.pdb_ms,M14.prot.role,M14.prot.survival_time_ms,M14.role,M14.status,M14.survival_time_ms,M15.flow,M15.jitter_ms,M15.population,M15.prot.flow,M15.prot.jitter_ms,M15.status,M17.effective_fps,M17.flow,M17.freeze_count,M17.freeze_max_duration_ms,M17.freeze_total_duration_ms,M17.population,M17.prot.effective_fps,M17.prot.flow,M17.prot.freeze_count,M17.prot.freeze_max_duration_ms,M17.prot.freeze_total_duration_ms,M17.prot.source_fps,M17.prot.xr_frame_period_ms,M17.source_fps,M17.status,M17.xr_frame_period_ms,M18,M18.population,M18.prot,M18.status,M19,M19.population,M19.prot,M19.status,M20.configured_period_ms,M20.excluded_5qi,M20.flow,M20.gap_count_over_t_live,M20.gap_count_over_t_live_over_2,M20.gap_count_over_t_live_over_4,M20.max_gap_ms,M20.median_gap_ms,M20.role,M20.status,M20.t_live_s,M21,M21.population,M21.prot,M21.status,M22.epochs,M22.flows_scored,M22.longest_epoch_s,M22.min_epoch_s,M22.population,M22.prot.epochs,M22.prot.flows_scored,M22.prot.longest_epoch_s,M22.prot.min_epoch_s,M22.prot.worst_flow,M22.status,M22.worst_flow,bg,scheduler,seed
ue8_qfi9,298.0,300.0,300.25,300.25,all_flows,ue6_qfi1,4.5,16.75,42.25,42.25,ok,0.27708655943558136,all_flows,0.0,ok,100.0,ue6_qfi1,0,0,0,138.0000000000001,100.00000000000009,all_flows,100.0,ue6_qfi1,0,0,0,138.0000000000001,100.00000000000009,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue1_qfi2,1.0,152,150.0,all_flows,ue1_qfi2,1.0,152,150.0,ok,ue8_qfi2,26.694,all_flows,ue8_qfi2,26.694,ok,8,all_flows,8,8,ok,8,ue2_qfi2,0.9578576,all_flows,ue2_qfi2,0.9578576,ok,0.9542808514427211,all_flows,0.9999359876193129,5,0.9999075566388942,proxy,5,0.9511479445800696,67408168.0,ok,0.005234090909090909,ok,0.9305829545454546,0.0377640625,ok,ue3_qfi1,0.42857142857142855,49,100.0,all_flows,ue3_qfi1,0.42857142857142855,49,100.0,data,0.0,data,ok,0.0,ue6_qfi1,37.75,all_flows,ue6_qfi1,37.75,ok,30.4,ue1_qfi2,0,0.0,0.0,all_flows,30.4,ue1_qfi2,0,0.0,0.0,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue6_qfi1,0,0,0,138.0000000000001,100.00000000000009,data,ok,2.0,,all_flows,,pending,0,32,0.0,1.0,all_flows,0,24,0.0,1.0,,ok,,False,PF,1826701614
ue8_qfi9,298.25,300.0,300.25,300.25,all_flows,ue5_qfi1,5.75,21.5,27.25,27.25,ok,0.2993835808521018,all_flows,0.0,ok,100.0,ue5_qfi1,0,0,0,125.50000000000017,98.50000000000048,all_flows,100.0,ue5_qfi1,0,0,0,125.50000000000017,98.50000000000048,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue1_qfi2,1.0,152,150.0,all_flows,ue1_qfi2,1.0,152,150.0,ok,ue8_qfi2,22.947,all_flows,ue8_qfi2,22.947,ok,8,all_flows,8,8,ok,8,ue2_qfi2,0.9567992,all_flows,ue2_qfi2,0.9567992,ok,0.9513301254872462,all_flows,0.9999023963445749,5,0.9998740949479097,proxy,5,0.9484504683104261,66272478.4,ok,0.004159090909090909,ok,0.9314011363636364,0.1187484375,ok,ue4_qfi1,0.4489795918367347,49,100.0,all_flows,ue4_qfi1,0.4489795918367347,49,100.0,data,0.0,data,ok,0.0,ue5_qfi1,21.5,all_flows,ue5_qfi1,21.5,ok,30.4,ue1_qfi2,0,0.0,0.0,all_flows,30.4,ue1_qfi2,0,0.0,0.0,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue5_qfi1,0,0,0,125.50000000000017,98.50000000000048,data,ok,2.0,,all_flows,,pending,0,32,0.0,1.0,all_flows,0,24,0.0,1.0,,ok,,False,Reservation,1826701614
ue8_qfi9,297.25,300.0,300.25,300.25,all_flows,ue4_qfi2,33.976,89.285,110.739,112.436,ok,0.26983782221128094,all_flows,0.000553493267360146,ok,100.0,ue4_qfi1,0,0,0,397.2500000000001,102.375,all_flows,100.0,ue4_qfi1,0,0,0,397.2500000000001,102.375,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue1_qfi2,1.0,152,150.0,all_flows,ue1_qfi2,1.0,152,150.0,ok,ue4_qfi2,111.796,all_flows,ue4_qfi2,111.796,ok,8,all_flows,8,8,ok,8,ue4_qfi2,0.9504412,all_flows,ue4_qfi2,0.9504412,ok,0.9107444749371074,all_flows,0.9773981545087527,5,0.9377695736921842,proxy,5,0.8562733905027997,67841064.0,ok,0.005231818181818182,ok,0.9307238636363636,0.035984375,ok,ue4_qfi1,0.4166666666666667,24,100.0,all_flows,ue4_qfi1,0.4166666666666667,24,100.0,data,0.0,data,ok,0.0,ue7_qfi9,101.25,all_flows,ue8_qfi1,85.0,ok,30.0,ue4_qfi2,8,90.0,630.75,all_flows,30.0,ue4_qfi2,8,90.0,630.75,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue4_qfi1,0,0,0,397.2500000000001,102.375,data,ok,2.0,,all_flows,,pending,2,32,1.8980000000000001,1.0,all_flows,1,24,1.7985,1.0,ue4_qfi1,ok,ue4_qfi9,False,TwoTier,1826701614
ue8_qfi9,297.5,299.75,300.0,300.25,all_flows,ue3_qfi1,4.0,18.25,51.75,51.75,ok,0.2659431028507255,all_flows,0.0,ok,100.0,ue5_qfi1,0,0,0,141.24999999999943,99.49999999999999,all_flows,100.0,ue5_qfi1,0,0,0,141.24999999999943,99.49999999999999,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue7_qfi2,0.993421052631579,152,150.0,all_flows,ue7_qfi2,0.993421052631579,152,150.0,ok,ue4_qfi2,25.652,all_flows,ue4_qfi2,25.652,ok,8,all_flows,8,8,ok,8,ue3_qfi2,0.9590696,all_flows,ue3_qfi2,0.9590696,ok,0.9565579250085081,all_flows,0.9999565096629122,5,0.9999233464843713,proxy,5,0.9445641160223126,68427270.4,ok,0.005004545454545454,ok,0.9314488636363636,0.0348390625,ok,ue7_qfi1,0.42857142857142855,49,100.0,all_flows,ue7_qfi1,0.42857142857142855,49,100.0,data,0.0,data,ok,0.0,ue3_qfi1,47.75,all_flows,ue3_qfi1,47.75,ok,30.4,ue1_qfi2,0,0.0,0.0,all_flows,30.4,ue1_qfi2,0,0.0,0.0,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue5_qfi1,0,0,0,141.24999999999943,99.49999999999999,data,ok,2.0,,all_flows,,pending,0,32,0.0,1.0,all_flows,0,24,0.0,1.0,,ok,,False,PF,1367864806
ue8_qfi9,297.5,300.0,300.25,300.25,all_flows,ue7_qfi1,6.0,23.5,26.5,26.5,ok,0.2858409737879468,all_flows,0.0,ok,100.0,ue7_qfi1,0,0,0,124.24999999999997,100.24999999999994,all_flows,100.0,ue7_qfi1,0,0,0,124.24999999999997,100.24999999999994,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue1_qfi2,1.0,152,150.0,all_flows,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,23.248,all_flows,ue2_qfi2,23.248,ok,8,all_flows,8,8,ok,8,ue3_qfi2,0.9555712,all_flows,ue3_qfi2,0.9555712,ok,0.9547615306092773,all_flows,0.9999321458100567,5,0.9998832124908626,proxy,5,0.9432698923430244,67450952.0,ok,0.004177272727272727,ok,0.9332738636363637,0.10985625,ok,ue4_qfi1,0.4489795918367347,49,100.0,all_flows,ue4_qfi1,0.4489795918367347,49,100.0,data,0.0,data,ok,0.0,ue7_qfi1,20.5,all_flows,ue7_qfi1,20.5,ok,30.4,ue1_qfi2,0,0.0,0.0,all_flows,30.4,ue1_qfi2,0,0.0,0.0,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue7_qfi1,0,0,0,124.24999999999997,100.24999999999994,data,ok,2.0,,all_flows,,pending,0,32,0.0,1.0,all_flows,0,24,0.0,1.0,,ok,,False,Reservation,1367864806
ue8_qfi9,295.5,300.0,300.0,300.25,all_flows,ue8_qfi1,9.75,79.5,98.0,98.0,ok,0.2602371507203119,all_flows,0.0006596795737043482,ok,100.0,ue6_qfi1,0,0,1,740.0000000000002,105.62499999999997,all_flows,100.0,ue6_qfi1,0,0,1,740.0000000000002,105.62499999999997,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue1_qfi2,1.0,151,150.0,all_flows,ue1_qfi2,1.0,151,150.0,ok,ue6_qfi2,89.742,all_flows,ue6_qfi2,89.742,ok,8,all_flows,8,8,ok,8,ue3_qfi2,0.9607608000000001,all_flows,ue3_qfi2,0.9607608000000001,ok,0.9088524007683386,all_flows,0.9784744321419471,5,0.959501608308152,proxy,5,0.8696787370636846,68754044.8,ok,0.004977272727272727,ok,0.9312488636363636,0.033575,ok,ue6_qfi1,0.2727272727272727,22,100.0,all_flows,ue6_qfi1,0.2727272727272727,22,100.0,data,0.0,data,ok,0.0,ue2_qfi9,158.25,all_flows,ue8_qfi1,88.25,ok,30.0,ue6_qfi2,11,115.75,992.75,all_flows,30.0,ue6_qfi2,11,115.75,992.75,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue6_qfi1,0,0,1,740.0000000000002,105.62499999999997,data,ok,2.0,,all_flows,,pending,0,32,0.0,1.0,all_flows,0,24,0.0,1.0,,ok,,False,TwoTier,1367864806
ue8_qfi9,297.75,300.0,300.0,300.25,all_flows,ue3_qfi1,5.75,21.75,29.25,29.25,ok,0.2827565507016846,all_flows,0.0,ok,100.0,ue4_qfi1,0,0,0,120.75000000000014,99.50000000000003,all_flows,100.0,ue4_qfi1,0,0,0,120.75000000000014,99.50000000000003,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue8_qfi2,0.993421052631579,152,150.0,all_flows,ue8_qfi2,0.993421052631579,152,150.0,ok,ue2_qfi2,24.762,all_flows,ue2_qfi2,24.762,ok,8,all_flows,8,8,ok,8,ue8_qfi2,0.9667652,all_flows,ue8_qfi2,0.9667652,ok,0.9532391799353406,all_flows,0.9999512507355659,5,0.9999184678348748,proxy,5,0.9474805186105841,67044403.2,ok,0.005245454545454545,ok,0.9318613636363636,0.035771875,ok,ue1_qfi1,0.5102040816326531,49,100.0,all_flows,ue1_qfi1,0.5102040816326531,49,100.0,data,0.0,data,ok,0.0,ue3_qfi1,23.5,all_flows,ue3_qfi1,23.5,ok,30.2,ue8_qfi2,1,71.0,71.0,all_flows,30.2,ue8_qfi2,1,71.0,71.0,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue4_qfi1,0,0,0,120.75000000000014,99.50000000000003,data,ok,2.0,,all_flows,,pending,0,32,0.0,1.0,all_flows,0,24,0.0,1.0,,ok,,False,PF,1097657231
ue8_qfi9,297.25,300.0,300.25,300.25,all_flows,ue6_qfi1,6.0,14.5,30.25,30.25,ok,0.3018937757505505,all_flows,0.0,ok,100.0,ue6_qfi1,0,0,0,129.49999999999972,99.74999999999979,all_flows,100.0,ue6_qfi1,0,0,0,129.49999999999972,99.74999999999979,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue2_qfi2,0.993421052631579,152,150.0,all_flows,ue2_qfi2,0.993421052631579,152,150.0,ok,ue6_qfi2,22.919,all_flows,ue6_qfi2,22.919,ok,8,all_flows,8,8,ok,8,ue8_qfi2,0.9680356,all_flows,ue8_qfi2,0.9680356,ok,0.9508059780380501,all_flows,0.9999014478205052,5,0.9998074605103177,proxy,5,0.9449059691748324,66165292.800000004,ok,0.004288636363636363,ok,0.9310443181818182,0.11236875,ok,ue2_qfi1,0.46938775510204084,49,100.0,all_flows,ue2_qfi1,0.46938775510204084,49,100.0,data,0.0,data,ok,0.0,ue6_qfi1,24.25,all_flows,ue6_qfi1,24.25,ok,30.2,ue5_qfi2,1,71.5,71.5,all_flows,30.2,ue5_qfi2,1,71.5,71.5,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue6_qfi1,0,0,0,129.49999999999972,99.74999999999979,data,ok,2.0,,all_flows,,pending,0,32,0.0,1.0,all_flows,0,24,0.0,1.0,,ok,,False,Reservation,1097657231
ue8_qfi9,294.5,299.75,300.0,300.25,all_flows,ue7_qfi1,10.5,88.0,95.5,95.5,ok,0.27630538374654695,all_flows,0.0003655688566204418,ok,100.0,ue7_qfi1,0,0,0,354.24999999999994,100.99999999999997,all_flows,100.0,ue7_qfi1,0,0,0,354.24999999999994,100.99999999999997,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue2_qfi2,0.993421052631579,152,150.0,all_flows,ue2_qfi2,0.993421052631579,152,150.0,ok,ue7_qfi2,87.155,all_flows,ue7_qfi2,87.155,ok,8,all_flows,8,8,ok,8,ue7_qfi2,0.9631684,all_flows,ue7_qfi2,0.9631684,ok,0.9243958146168512,all_flows,0.9850499023916995,5,0.9580848962510006,proxy,5,0.9104732417295666,67324521.6,ok,0.005584090909090909,ok,0.9320931818181818,0.0344328125,ok,ue7_qfi1,0.4,25,100.0,all_flows,ue7_qfi1,0.4,25,100.0,data,0.0,data,ok,0.0,ue8_qfi1,87.75,all_flows,ue8_qfi1,87.75,ok,29.8,ue7_qfi2,8,88.75,620.0,all_flows,29.8,ue7_qfi2,8,88.75,620.0,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue7_qfi1,0,0,0,354.24999999999994,100.99999999999997,data,ok,2.0,,all_flows,,pending,2,32,1.1752500000000001,1.0,all_flows,1,24,1.08675,1.0,ue7_qfi1,ok,ue7_qfi9,False,TwoTier,1097657231
ue8_qfi9,297.75,300.0,300.0,300.25,all_flows,ue8_qfi1,4.25,22.25,29.5,29.5,ok,0.24864762367020227,all_flows,0.0,ok,100.0,ue8_qfi1,0,0,0,129.0,99.74999999999979,all_flows,100.0,ue8_qfi1,0,0,0,129.0,99.74999999999979,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue1_qfi2,1.0,152,150.0,all_flows,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,25.139,all_flows,ue2_qfi2,25.139,ok,8,all_flows,8,8,ok,8,ue8_qfi2,0.9636376,all_flows,ue8_qfi2,0.9636376,ok,0.9622709436922824,all_flows,0.9999582558265218,5,0.9999369331677586,proxy,5,0.9578669750684701,70051699.2,ok,0.00465,ok,0.9312659090909091,0.0343921875,ok,ue1_qfi1,0.4897959183673469,49,100.0,all_flows,ue1_qfi1,0.4897959183673469,49,100.0,data,0.0,data,ok,0.0,ue8_qfi1,25.25,all_flows,ue8_qfi1,25.25,ok,30.4,ue1_qfi2,0,0.0,0.0,all_flows,30.4,ue1_qfi2,0,0.0,0.0,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue8_qfi1,0,0,0,129.0,99.74999999999979,data,ok,2.0,,all_flows,,pending,0,32,0.0,1.0,all_flows,0,24,0.0,1.0,,ok,,False,PF,579362555
