M01.flow,M01.p50,M01.p95,M01.p98,M01.p99,M01.status,M02,M02.status,M03.flow,M03.gap_count_over_t_live,M03.gap_count_over_t_live_over_2,M03.gap_count_over_t_live_over_4,M03.max_gap_ms,M03.role,M03.status,M03.t_live_s,M04.exceeds_threshold,M04.flow,M04.status,M04.threshold_n,M04.worst_consecutive_miss_slots,M05.flow,M05.fraction,M05.frame_count,M05.pdb_ms,M05.status,M06.flow,M06.p95_ms,M06.status,M07.met,M07.status,M07.total,M08.flow,M08.fraction,M08.status,M09.mean,M09.status,M09.windows,M09.worst,M10,M10.status,M11.dl,M11.status,M11.ul,M12,M12.status,M14.flow,M14.fraction,M14.interval_count,M14.pdb_ms,M14.role,M14.status,M14.survival_time_ms,M15.flow,M15.jitter_ms,M15.status,M17.effective_fps,M17.flow,M17.freeze_count,M17.freeze_max_duration_ms,M17.freeze_total_duration_ms,M17.source_fps,M17.status,M17.xr_frame_period_ms,M18,M18.status,M19,M19.status,bg,duty_cycle,inf_scenario,k2_slots,load_mult,mfbr_multiple,min_rb,n_ues,pdb_ms,scheduler,seed,shared_lcg,snr_spread_db,sr_period_slots
ue2_qfi2,3.71,9.235,10.274,11.0,ok,0.0,ok,ue2_qfi1,0,0,0,106.25000000000017,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,10.713,ok,2,ok,2,ue2_qfi2,0.9677131999999999,ok,0.9999898971846262,proxy,5,0.9999821600226616,19852950.4,ok,0.0009590909090909091,ok,0.2795147727272727,0.01780625,ok,ue2_qfi1,0.42857142857142855,49,100.0,data,ok,0.0,ue1_qfi2,7.332,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,PF,1826701614,,,
ue2_qfi9,4.0,9.5,10.5,11.0,ok,0.0,ok,ue1_qfi1,0,0,0,106.7499999999999,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,10.75,ok,2,ok,2,ue2_qfi2,0.9677131999999999,ok,0.9999903767832736,proxy,5,0.9999799260175506,19853995.2,ok,0.0009590909090909091,ok,0.39689545454545455,0.0218109375,ok,ue2_qfi1,0.5102040816326531,49,100.0,data,ok,0.0,ue2_qfi2,7.476,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,Reservation,1826701614,,,
ue2_qfi9,4.75,10.75,12.0,12.75,ok,0.0,ok,ue2_qfi1,0,0,0,108.0000000000001,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,11.75,ok,2,ok,2,ue2_qfi2,0.9677131999999999,ok,0.9999900362703411,proxy,5,0.9999864059049473,19850283.2,ok,0.001031818181818182,ok,0.5009818181818182,0.0173140625,ok,ue1_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue2_qfi2,8.778,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,TwoTier,1826701614,,,
ue1_qfi2,3.892,9.206,10.614,11.429,ok,0.0,ok,ue2_qfi1,0,0,0,107.0000000000002,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,10.865,ok,2,ok,2,ue1_qfi2,0.9709788,ok,0.9999901995821319,proxy,5,0.999983201026621,19842836.8,ok,0.001031818181818182,ok,0.2849159090909091,0.019409375,ok,ue1_qfi1,0.4897959183673469,49,100.0,data,ok,0.0,ue2_qfi2,7.6259999999999994,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,PF,1367864806,,,
ue1_qfi9,4.0,10.0,10.75,11.25,ok,0.0,ok,ue2_qfi1,0,0,0,106.25000000000017,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,11.243,ok,2,ok,2,ue1_qfi2,0.9709788,ok,0.9999898123946078,proxy,5,0.999983480108647,19847222.400000002,ok,0.0010818181818181818,ok,0.40548181818181817,0.0240796875,ok,ue1_qfi1,0.4489795918367347,49,100.0,data,ok,0.0,ue1_qfi9,7.25,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,Reservation,1367864806,,,
ue2_qfi9,4.5,10.5,11.75,12.75,ok,0.0,ok,ue1_qfi1,0,0,0,109.0,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,11.599,ok,2,ok,2,ue1_qfi2,0.9709788,ok,0.999992883377403,proxy,5,0.9999852926891827,19847420.8,ok,0.0010681818181818182,ok,0.5046852272727272,0.0187,ok,ue2_qfi1,0.4897959183673469,49,100.0,data,ok,0.0,ue1_qfi1,8.75,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,TwoTier,1367864806,,,
ue2_qfi9,4.0,9.5,10.5,11.0,ok,0.0,ok,ue1_qfi1,0,0,0,106.25000000000017,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,0.993421052631579,152,150.0,ok,ue1_qfi2,10.864,ok,2,ok,2,ue1_qfi2,0.961714,ok,0.9999902342530159,proxy,5,0.9999831166287205,19795296.0,ok,0.001125,ok,0.3121181818181818,0.0252828125,ok,ue1_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue2_qfi2,7.268,ok,30.2,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,PF,1097657231,,,
ue2_qfi9,4.0,10.0,10.75,11.25,ok,0.0,ok,ue1_qfi1,0,0,0,106.50000000000004,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,0.993421052631579,152,150.0,ok,ue1_qfi2,11.0,ok,2,ok,2,ue1_qfi2,0.9616804,ok,0.9999907776497764,proxy,5,0.9999826891592272,19794966.4,ok,0.0012863636363636363,ok,0.43022727272727274,0.03141875,ok,ue2_qfi1,0.4897959183673469,49,100.0,data,ok,0.0,ue2_qfi2,7.394,ok,30.2,ue1_qfi2,1,66.25,66.25,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,Reservation,1097657231,,,
ue2_qfi9,5.0,11.0,12.25,12.75,ok,0.0,ok,ue1_qfi1,0,0,0,108.75,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,11.509,ok,2,ok,2,ue1_qfi2,0.9620711999999999,ok,0.9999874272712539,proxy,5,0.999976392313268,19801406.4,ok,0.0012068181818181817,ok,0.535,0.02439375,ok,ue1_qfi1,0.5102040816326531,49,100.0,data,ok,0.0,ue1_qfi1,8.5,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,TwoTier,1097657231,,,
ue2_qfi2,3.849,9.259,10.422,11.295,ok,0.0,ok,ue2_qfi1,0,0,0,106.25000000000017,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,10.866,ok,2,ok,2,ue2_qfi2,0.959058,ok,0.9999871255211665,proxy,5,0.9999789795251425,19791542.4,ok,0.0009818181818181818,ok,0.2713590909090909,0.0173984375,ok,ue2_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue2_qfi2,7.446,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,PF,579362555,,,
