M01.flow,M01.p50,M01.p95,M01.p98,M01.p99,M01.population,M01.prot.flow,M01.prot.p50,M01.prot.p95,M01.prot.p98,M01.prot.p99,M01.status,M02,M02.population,M02.prot,M02.status,M03.configured_period_ms,M03.flow,M03.gap_count_over_t_live,M03.gap_count_over_t_live_over_2,M03.gap_count_over_t_live_over_4,M03.max_gap_ms,M03.median_gap_ms,M03.population,M03.prot.configured_period_ms,M03.prot.flow,M03.prot.gap_count_over_t_live,M03.prot.gap_count_over_t_live_over_2,M03.prot.gap_count_over_t_live_over_4,M03.prot.max_gap_ms,M03.prot.median_gap_ms,M03.prot.role,M03.prot.t_live_s,M03.role,M03.status,M03.t_live_s,M04.exceeds_threshold,M04.flow,M04.population,M04.prot.exceeds_threshold,M04.prot.flow,M04.prot.threshold_n,M04.prot.worst_consecutive_miss_slots,M04.status,M04.threshold_n,M04.worst_consecutive_miss_slots,M05.flow,M05.fraction,M05.frame_count,M05.pdb_ms,M05.population,M05.prot.flow,M05.prot.fraction,M05.prot.frame_count,M05.prot.pdb_ms,M05.status,M06.flow,M06.p95_ms,M06.population,M06.prot.flow,M06.prot.p95_ms,M06.status,M07.met,M07.population,M07.prot.met,M07.prot.total,M07.status,M07.total,M08.flow,M08.fraction,M08.population,M08.prot.flow,M08.prot.fraction,M08.status,M09.mean,M09.population,M09.prot.mean,M09.prot.windows,M09.prot.worst,M09.status,M09.windows,M09.worst,M10,M10.status,M11.dl,M11.status,M11.ul,M12,M12.status,M14.flow,M14.fraction,M14.interval_count,M14.pdb_ms,M14.population,M14.prot.flow,M14.prot.fraction,M14.prot.interval_count,M14.prot.pdb_ms,M14.prot.role,M14.prot.survival_time_ms,M14.role,M14.status,M14.survival_time_ms,M15.flow,M15.jitter_ms,M15.population,M15.prot.flow,M15.prot.jitter_ms,M15.status,M17.effective_fps,M17.flow,M17.freeze_count,M17.freeze_max_duration_ms,M17.freeze_total_duration_ms,M17.population,M17.prot.effective_fps,M17.prot.flow,M17.prot.freeze_count,M17.prot.freeze_max_duration_ms,M17.prot.freeze_total_duration_ms,M17.prot.source_fps,M17.prot.xr_frame_period_ms,M17.source_fps,M17.status,M17.xr_frame_period_ms,M18,M18.population,M18.prot,M18.status,M19,M19.population,M19.prot,M19.status,M20.configured_period_ms,M20.excluded_5qi,M20.flow,M20.gap_count_over_t_live,M20.gap_count_over_t_live_over_2,M20.gap_count_over_t_live_over_4,M20.max_gap_ms,M20.median_gap_ms,M20.role,M20.status,M20.t_live_s,M21,M21.population,M21.prot,M21.status,M22.epochs,M22.flows_scored,M22.longest_epoch_s,M22.min_epoch_s,M22.population,M22.prot.epochs,M22.prot.flows_scored,M22.prot.longest_epoch_s,M22.prot.min_epoch_s,M22.prot.worst_flow,M22.status,M22.worst_flow,bg,scheduler,seed
ue8_qfi9,298.0,300.0,300.25,300.25,all_flows,ue6_qfi1,3.5,20.25,41.0,41.0,ok,0.27686579562656505,all_flows,0.0,ok,100.0,ue6_qfi1,0,0,0,136.49999999999994,99.49999999999991,all_flows,100.0,ue6_qfi1,0,0,0,136.49999999999994,99.49999999999991,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue1_qfi2,1.0,152,150.0,all_flows,ue1_qfi2,1.0,152,150.0,ok,ue8_qfi2,25.694,all_flows,ue8_qfi2,25.694,ok,8,all_flows,8,8,ok,8,ue2_qfi2,0.9578576,all_flows,ue2_qfi2,0.9578576,ok,0.9543024085615089,all_flows,0.9999386858534555,5,0.9999045409147718,proxy,5,0.9512408963531349,67414070.4,ok,0.004706818181818182,ok,0.9305852272727273,0.0377140625,ok,ue4_qfi1,0.5306122448979592,49,100.0,all_flows,ue4_qfi1,0.5306122448979592,49,100.0,data,0.0,data,ok,0.0,ue6_qfi1,37.5,all_flows,ue6_qfi1,37.5,ok,30.4,ue1_qfi2,0,0.0,0.0,all_flows,30.4,ue1_qfi2,0,0.0,0.0,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue6_qfi1,0,0,0,136.49999999999994,99.49999999999991,data,ok,2.0,,all_flows,,pending,0,32,0.0,1.0,all_flows,0,24,0.0,1.0,,ok,,False,PF,1826701614
ue8_qfi9,298.25,300.0,300.25,300.25,all_flows,ue8_qfi1,5.75,17.0,32.25,32.25,ok,0.2988019244354774,all_flows,0.0,ok,100.0,ue3_qfi1,0,0,0,124.49999999999983,100.00000000000009,all_flows,100.0,ue3_qfi1,0,0,0,124.49999999999983,100.00000000000009,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue2_qfi2,0.993421052631579,152,150.0,all_flows,ue2_qfi2,0.993421052631579,152,150.0,ok,ue8_qfi2,23.033,all_flows,ue8_qfi2,23.033,ok,8,all_flows,8,8,ok,8,ue2_qfi2,0.9569772,all_flows,ue2_qfi2,0.9569772,ok,0.9514627229538013,all_flows,0.9999130998784385,5,0.9998799580135991,proxy,5,0.9490397521732957,66288822.4,ok,0.004277272727272728,ok,0.9315931818181818,0.118921875,ok,ue3_qfi1,0.46938775510204084,49,100.0,all_flows,ue3_qfi1,0.46938775510204084,49,100.0,data,0.0,data,ok,0.0,ue8_qfi1,26.5,all_flows,ue8_qfi1,26.5,ok,30.2,ue8_qfi2,1,72.5,72.5,all_flows,30.2,ue8_qfi2,1,72.5,72.5,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue3_qfi1,0,0,0,124.49999999999983,100.00000000000009,data,ok,2.0,,all_flows,,pending,0,32,0.0,1.0,all_flows,0,24,0.0,1.0,,ok,,False,Reservation,1826701614
ue8_qfi9,297.5,300.0,300.25,300.25,all_flows,ue8_qfi2,15.011,66.028,91.479,110.696,ok,0.268189025677629,all_flows,0.0004960601279788003,ok,100.0,ue8_qfi1,0,0,0,344.75000000000034,99.50000000000014,all_flows,100.0,ue8_qfi1,0,0,0,344.75000000000034,99.50000000000014,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue1_qfi2,1.0,152,150.0,all_flows,ue1_qfi2,1.0,152,150.0,ok,ue4_qfi2,92.666,all_flows,ue4_qfi2,92.666,ok,7,all_flows,7,8,ok,8,ue2_qfi2,0.9479744,all_flows,ue2_qfi2,0.9479744,ok,0.912510809502656,all_flows,0.9813023358029778,5,0.939805376488437,proxy,5,0.8640768009252999,67888468.8,ok,0.0047,ok,0.9306613636363636,0.0359265625,ok,ue3_qfi1,0.46938775510204084,49,100.0,all_flows,ue3_qfi1,0.46938775510204084,49,100.0,data,0.0,data,ok,0.0,ue7_qfi2,99.529,all_flows,ue7_qfi2,99.529,ok,30.0,ue4_qfi2,6,95.0,515.75,all_flows,30.0,ue4_qfi2,6,95.0,515.75,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue8_qfi1,0,0,0,344.75000000000034,99.50000000000014,data,ok,2.0,,all_flows,,pending,2,32,1.6725,1.0,all_flows,1,24,1.0915,1.0,ue4_qfi1,ok,ue4_qfi9,False,TwoTier,1826701614
ue8_qfi9,297.5,299.75,300.0,300.25,all_flows,ue5_qfi1,6.75,15.5,45.25,45.25,ok,0.26603060152368824,all_flows,0.0,ok,100.0,ue5_qfi1,0,0,0,140.74999999999972,99.74999999999979,all_flows,100.0,ue5_qfi1,0,0,0,140.74999999999972,99.74999999999979,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue1_qfi2,1.0,152,150.0,all_flows,ue1_qfi2,1.0,152,150.0,ok,ue6_qfi2,25.126,all_flows,ue6_qfi2,25.126,ok,8,all_flows,8,8,ok,8,ue3_qfi2,0.959342,all_flows,ue3_qfi2,0.959342,ok,0.9565440881646593,all_flows,0.9999643892351017,5,0.9999322138858169,proxy,5,0.9451915468659646,68422590.4,ok,0.004922727272727273,ok,0.9315931818181818,0.034859375,ok,ue3_qfi1,0.46938775510204084,49,100.0,all_flows,ue3_qfi1,0.46938775510204084,49,100.0,data,0.0,data,ok,0.0,ue5_qfi1,38.5,all_flows,ue5_qfi1,38.5,ok,30.4,ue1_qfi2,0,0.0,0.0,all_flows,30.4,ue1_qfi2,0,0.0,0.0,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue5_qfi1,0,0,0,140.74999999999972,99.74999999999979,data,ok,2.0,,all_flows,,pending,0,32,0.0,1.0,all_flows,0,24,0.0,1.0,,ok,,False,PF,1367864806
ue8_qfi9,297.5,300.0,300.25,300.25,all_flows,ue8_qfi1,6.0,18.25,39.25,39.25,ok,0.28524553588117585,all_flows,0.0,ok,100.0,ue3_qfi1,0,0,0,126.75000000000037,100.00000000000009,all_flows,100.0,ue3_qfi1,0,0,0,126.75000000000037,100.00000000000009,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue1_qfi2,1.0,152,150.0,all_flows,ue1_qfi2,1.0,152,150.0,ok,ue6_qfi2,24.148,all_flows,ue6_qfi2,24.148,ok,8,all_flows,8,8,ok,8,ue3_qfi2,0.9558675999999999,all_flows,ue3_qfi2,0.9558675999999999,ok,0.9546822615718689,all_flows,0.9998982449989026,5,0.9998284597913002,proxy,5,0.9433153034704176,67508340.8,ok,0.004179545454545455,ok,0.9341704545454546,0.109434375,ok,ue2_qfi1,0.46938775510204084,49,100.0,all_flows,ue2_qfi1,0.46938775510204084,49,100.0,data,0.0,data,ok,0.0,ue8_qfi1,33.25,all_flows,ue8_qfi1,33.25,ok,30.4,ue1_qfi2,0,0.0,0.0,all_flows,30.4,ue1_qfi2,0,0.0,0.0,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue3_qfi1,0,0,0,126.75000000000037,100.00000000000009,data,ok,2.0,,all_flows,,pending,0,32,0.0,1.0,all_flows,0,24,0.0,1.0,,ok,,False,Reservation,1367864806
ue7_qfi9,295.75,299.75,300.0,300.25,all_flows,ue6_qfi2,41.911,92.311,119.281,133.232,ok,0.28119294151658186,all_flows,0.08170824649529855,ok,,ue6_qfi9,0,0,1,528.2499999999999,0.0,all_flows,100.0,ue6_qfi1,0,0,0,488.74999999999955,104.375,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue6_qfi2,0.7748344370860927,151,150.0,all_flows,ue6_qfi2,0.7748344370860927,151,150.0,ok,ue6_qfi2,99.561,all_flows,ue6_qfi2,99.561,ok,5,all_flows,5,8,ok,8,ue6_qfi2,0.744604,all_flows,ue6_qfi2,0.744604,ok,0.8824030685731357,all_flows,0.9375193325597133,5,0.7499780377909624,proxy,5,0.7187189415505453,66856840.0,ok,0.004459090909090909,ok,0.9314965909090909,0.032675,ok,ue6_qfi1,0.3888888888888889,18,100.0,all_flows,ue6_qfi1,0.3888888888888889,18,100.0,data,0.0,data,ok,0.0,ue2_qfi9,187.5,all_flows,ue8_qfi2,111.964,ok,23.4,ue6_qfi2,8,202.75,768.5,all_flows,23.4,ue6_qfi2,8,202.75,768.5,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue6_qfi1,0,0,0,488.74999999999955,104.375,data,ok,2.0,,all_flows,,pending,9,32,1.29725,1.0,all_flows,6,24,1.2885,1.0,ue6_qfi1,ok,ue6_qfi9,False,TwoTier,1367864806
ue8_qfi9,298.0,300.0,300.0,300.25,all_flows,ue3_qfi1,5.25,20.25,30.25,30.25,ok,0.28292170398563943,all_flows,0.0,ok,100.0,ue3_qfi1,0,0,0,121.75000000000003,99.74999999999979,all_flows,100.0,ue3_qfi1,0,0,0,121.75000000000003,99.74999999999979,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue2_qfi2,0.993421052631579,152,150.0,all_flows,ue2_qfi2,0.993421052631579,152,150.0,ok,ue3_qfi2,25.229,all_flows,ue3_qfi2,25.229,ok,8,all_flows,8,8,ok,8,ue8_qfi2,0.9680356,all_flows,ue8_qfi2,0.9680356,ok,0.9531655167069714,all_flows,0.9999519538907096,5,0.9999222640451659,proxy,5,0.9470962616944628,67031606.4,ok,0.005156818181818182,ok,0.9317522727272727,0.03578125,ok,ue6_qfi1,0.4897959183673469,49,100.0,all_flows,ue6_qfi1,0.4897959183673469,49,100.0,data,0.0,data,ok,0.0,ue3_qfi1,25.0,all_flows,ue3_qfi1,25.0,ok,30.2,ue2_qfi2,1,69.0,69.0,all_flows,30.2,ue2_qfi2,1,69.0,69.0,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue3_qfi1,0,0,0,121.75000000000003,99.74999999999979,data,ok,2.0,,all_flows,,pending,0,32,0.0,1.0,all_flows,0,24,0.0,1.0,,ok,,False,PF,1097657231
ue7_qfi9,297.0,300.0,300.25,300.25,all_flows,ue4_qfi1,3.5,14.25,27.75,27.75,ok,0.29193479579255505,all_flows,0.11977917710453674,ok,100.0,ue5_qfi1,0,0,0,200.00000000000017,100.00000000000009,all_flows,100.0,ue5_qfi1,0,0,0,200.00000000000017,100.00000000000009,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue8_qfi2,0.0,147,150.0,all_flows,ue8_qfi2,0.0,147,150.0,ok,ue1_qfi2,21.979,all_flows,ue1_qfi2,21.979,ok,7,all_flows,7,8,ok,8,ue8_qfi2,0.0,all_flows,ue8_qfi2,0.0,ok,0.8864557310327456,all_flows,0.9165076974559974,5,0.9161227672575087,proxy,5,0.8817135685238885,66181462.4,ok,0.004188636363636364,ok,0.9326159090909091,0.0936796875,ok,ue3_qfi1,0.46938775510204084,49,100.0,all_flows,ue3_qfi1,0.46938775510204084,49,100.0,data,0.0,data,ok,0.0,ue4_qfi1,24.25,all_flows,ue4_qfi1,24.25,ok,30.4,ue1_qfi2,0,0.0,0.0,all_flows,30.4,ue1_qfi2,0,0.0,0.0,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue5_qfi1,0,0,0,200.00000000000017,100.00000000000009,data,ok,2.0,,all_flows,,pending,3,32,5.0,1.0,all_flows,2,24,4.98325,1.0,ue8_qfi2,ok,ue8_qfi9,False,Reservation,1097657231
ue7_qfi9,297.25,300.0,300.25,300.25,all_flows,ue6_qfi2,7.75,30.045,79.454,115.75,ok,0.27903757078463615,all_flows,0.0005186625462486816,ok,,ue7_qfi9,0,0,0,385.2500000000001,0.0,all_flows,100.0,ue7_qfi1,0,0,0,384.9999999999998,101.75,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue6_qfi2,0.993421052631579,152,150.0,all_flows,ue6_qfi2,0.993421052631579,152,150.0,ok,ue8_qfi2,79.918,all_flows,ue8_qfi2,79.918,ok,8,all_flows,8,8,ok,8,ue8_qfi2,0.9559428000000001,all_flows,ue8_qfi2,0.9559428000000001,ok,0.9127929526953249,all_flows,0.9854193872947565,5,0.9558800098123811,proxy,5,0.8766371029054362,66967792.0,ok,0.004931818181818182,ok,0.9314045454545454,0.034734375,ok,ue7_qfi1,0.42424242424242425,33,100.0,all_flows,ue7_qfi1,0.42424242424242425,33,100.0,data,0.0,data,ok,0.0,ue6_qfi2,108.0,all_flows,ue6_qfi2,108.0,ok,30.0,ue7_qfi2,6,108.75,474.25,all_flows,30.0,ue7_qfi2,6,108.75,474.25,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue7_qfi1,0,0,0,384.9999999999998,101.75,data,ok,2.0,,all_flows,,pending,0,32,0.0,1.0,all_flows,0,24,0.0,1.0,,ok,,False,TwoTier,1097657231
ue8_qfi9,297.75,300.0,300.0,300.25,all_flows,ue8_qfi1,4.25,21.75,29.75,29.75,ok,0.24882266520891325,all_flows,0.0,ok,100.0,ue8_qfi1,0,0,0,127.99999999999967,99.50000000000003,all_flows,100.0,ue8_qfi1,0,0,0,127.99999999999967,99.50000000000003,data,2.0,data,ok,2.0,False,,all_flows,False,,3,0,proxy,3,0,ue1_qfi2,1.0,152,150.0,all_flows,ue1_qfi2,1.0,152,150.0,ok,ue8_qfi2,25.0,all_flows,ue8_qfi2,25.0,ok,8,all_flows,8,8,ok,8,ue8_qfi2,0.9636376,all_flows,ue8_qfi2,0.9636376,ok,0.9622391910026387,all_flows,0.9999629303538609,5,0.9999443507398631,proxy,5,0.9578634333020641,70044726.4,ok,0.004856818181818182,ok,0.9310068181818182,0.0344390625,ok,ue1_qfi1,0.4489795918367347,49,100.0,all_flows,ue1_qfi1,0.4489795918367347,49,100.0,data,0.0,data,ok,0.0,ue8_qfi1,25.5,all_flows,ue8_qfi1,25.5,ok,30.4,ue1_qfi2,0,0.0,0.0,all_flows,30.4,ue1_qfi2,0,0.0,0.0,30.303,33.0,30.303,ok,33.0,,all_flows,,pending,,all_flows,,pending,100.0,"[8, 9]",ue8_qfi1,0,0,0,127.99999999999967,99.50000000000003,data,ok,2.0,,all_flows,,pending,0,32,0.0,1.0,all_flows,0,24,0.0,1.0,,ok,,False,PF,579362555
