M01.flow,M01.p50,M01.p95,M01.p98,M01.p99,M01.status,M02,M02.status,M03.flow,M03.gap_count_over_t_live,M03.gap_count_over_t_live_over_2,M03.gap_count_over_t_live_over_4,M03.max_gap_ms,M03.median_gap_ms,M03.role,M03.status,M03.t_live_s,M04.exceeds_threshold,M04.flow,M04.status,M04.threshold_n,M04.worst_consecutive_miss_slots,M05.flow,M05.fraction,M05.frame_count,M05.pdb_ms,M05.status,M06.flow,M06.p95_ms,M06.status,M07.met,M07.status,M07.total,M08.flow,M08.fraction,M08.status,M09.mean,M09.status,M09.windows,M09.worst,M10,M10.status,M11.dl,M11.status,M11.ul,M12,M12.status,M14.flow,M14.fraction,M14.interval_count,M14.pdb_ms,M14.role,M14.status,M14.survival_time_ms,M15.flow,M15.jitter_ms,M15.status,M17,M17.effective_fps,M17.flow,M17.freeze_count,M17.freeze_max_duration_ms,M17.freeze_total_duration_ms,M17.source_fps,M17.status,M17.xr_frame_period_ms,M18,M18.status,M19,M19.status,M20.excluded_5qi,M20.flow,M20.gap_count_over_t_live,M20.gap_count_over_t_live_over_2,M20.gap_count_over_t_live_over_4,M20.max_gap_ms,M20.median_gap_ms,M20.role,M20.status,M20.t_live_s,duty_cycle,load_mult,n_ues,scheduler,seed,snr_spread_db
ue2_qfi2,9.76,22.5,25.143,26.393,ok,0.0,ok,ue1_qfi1,0,0,0,219.25,200.00000000000006,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue2_qfi2,26.978,ok,4,ok,4,ue4_qfi2,0.9555832,ok,0.9999480644845324,proxy,5,0.9999010438403756,47554937.6,ok,0.002109090909090909,ok,0.6869943181818182,0.040778125,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue2_qfi9,21.0,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue1_qfi1,0,0,0,219.25,200.00000000000006,data,ok,2.0,0.5,1.0,4,PF,1826701614,
ue1_qfi2,9.027,19.072,20.586,22.626,ok,0.0,ok,ue1_qfi1,0,0,0,215.25,199.75000000000009,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue2_qfi2,22.25,ok,4,ok,4,ue4_qfi2,0.9555832,ok,0.9998812361885779,proxy,5,0.9996843652127723,47559465.6,ok,0.002140909090909091,ok,0.8283659090909091,0.0627453125,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue1_qfi9,16.25,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue1_qfi1,0,0,0,215.25,199.75000000000009,data,ok,2.0,0.5,1.0,4,Reservation,1826701614,
ue2_qfi9,7.75,22.25,24.75,27.0,ok,0.0,ok,ue1_qfi1,0,0,0,217.75,200.00000000000017,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue2_qfi2,25.675,ok,4,ok,4,ue4_qfi2,0.9555832,ok,0.9998732984744535,proxy,5,0.9996546488049578,47553291.2,ok,0.0022818181818181817,ok,0.8940068181818182,0.0342765625,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue2_qfi9,19.25,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue1_qfi1,0,0,0,217.75,200.00000000000017,data,ok,2.0,0.5,1.0,4,TwoTier,1826701614,
ue1_qfi2,9.06,20.182,23.415,25.734,ok,0.0,ok,ue2_qfi1,0,0,0,221.0,200.00000000000017,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue1_qfi2,26.026,ok,4,ok,4,ue2_qfi2,0.9731464000000001,ok,0.999960429161707,proxy,5,0.9999022148008345,47879865.6,ok,0.0024636363636363636,ok,0.6708022727272728,0.037415625,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue2_qfi1,21.5,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue2_qfi1,0,0,0,221.0,200.00000000000017,data,ok,2.0,0.5,1.0,4,PF,1367864806,
ue1_qfi2,9.932,19.745,22.033,22.734,ok,0.0,ok,ue2_qfi1,0,0,0,216.0,199.99999999999994,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,0.9868421052631579,76,150.0,ok,ue1_qfi2,22.898,ok,4,ok,4,ue2_qfi2,0.9731464000000001,ok,0.9997770041063267,proxy,5,0.9994012787910452,47876089.6,ok,0.0020954545454545453,ok,0.8203056818181819,0.0576015625,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue1_qfi9,16.25,ok,,15.0,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue2_qfi1,0,0,0,216.0,199.99999999999994,data,ok,2.0,0.5,1.0,4,Reservation,1367864806,
ue4_qfi9,7.5,21.75,24.5,26.25,ok,0.0,ok,ue2_qfi1,0,0,0,218.75,200.25000000000026,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue4_qfi2,25.318,ok,4,ok,4,ue2_qfi2,0.9731464000000001,ok,0.9998689854318024,proxy,5,0.9996501606487338,47871457.6,ok,0.002159090909090909,ok,0.8893670454545455,0.0317171875,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue4_qfi9,18.75,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue2_qfi1,0,0,0,218.75,200.25000000000026,data,ok,2.0,0.5,1.0,4,TwoTier,1367864806,
ue4_qfi9,6.0,25.0,28.0,29.75,ok,0.0,ok,ue2_qfi1,0,0,0,214.5,199.99999999999952,data,ok,2.0,False,,proxy,3,0,ue4_qfi2,0.9868421052631579,76,150.0,ok,ue4_qfi2,28.293,ok,4,ok,4,ue3_qfi2,0.9563856,ok,0.9998797271699964,proxy,5,0.9996969518194089,47628428.8,ok,0.0020545454545454547,ok,0.6999590909090909,0.04294375,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue4_qfi9,23.75,ok,,15.0,ue4_qfi2,1,132.75,132.75,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue2_qfi1,0,0,0,214.5,199.99999999999952,data,ok,2.0,0.5,1.0,4,PF,1097657231,
ue4_qfi9,7.75,22.25,24.5,26.0,ok,0.0,ok,ue2_qfi1,0,0,0,213.75,200.1250000000001,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,0.9868421052631579,76,150.0,ok,ue4_qfi2,23.406,ok,4,ok,4,ue3_qfi2,0.9563856,ok,0.9998939186269625,proxy,5,0.9997329256769593,47637582.4,ok,0.002372727272727273,ok,0.8360181818181818,0.0653328125,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue4_qfi9,18.25,ok,,15.0,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue2_qfi1,0,0,0,213.75,200.1250000000001,data,ok,2.0,0.5,1.0,4,Reservation,1097657231,
ue4_qfi9,9.25,23.5,25.75,27.25,ok,0.0,ok,ue1_qfi1,0,0,0,213.75,200.1249999999999,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue1_qfi2,25.204,ok,4,ok,4,ue3_qfi2,0.9563856,ok,0.9998413819233336,proxy,5,0.9995671879960341,47628048.0,ok,0.002409090909090909,ok,0.8978818181818182,0.0354125,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue1_qfi9,18.0,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue1_qfi1,0,0,0,213.75,200.1249999999999,data,ok,2.0,0.5,1.0,4,TwoTier,1097657231,
ue1_qfi9,5.5,22.5,25.5,27.25,ok,0.0,ok,ue1_qfi1,0,0,0,217.75,199.99999999999952,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue1_qfi2,26.341,ok,4,ok,4,ue3_qfi2,0.9712036,ok,0.9998939615864384,proxy,5,0.9997558484840079,47819880.0,ok,0.002236363636363636,ok,0.7202022727272728,0.044946875,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue1_qfi9,21.75,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue1_qfi1,0,0,0,217.75,199.99999999999952,data,ok,2.0,0.5,1.0,4,PF,579362555,
ue1_qfi9,7.25,21.0,23.25,24.75,ok,0.0,ok,ue1_qfi1,0,0,0,217.25,200.1249999999999,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue1_qfi2,23.705,ok,4,ok,4,ue3_qfi2,0.9712036,ok,0.9998734055166973,proxy,5,0.9996720843926832,47805556.800000004,ok,0.0021659090909090907,ok,0.8430681818181818,0.0705796875,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue1_qfi9,17.5,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue1_qfi1,0,0,0,217.25,200.1249999999999,data,ok,2.0,0.5,1.0,4,Reservation,579362555,
ue3_qfi9,8.75,23.25,26.5,28.25,ok,0.0,ok,ue1_qfi1,0,0,0,217.25,199.62499999999994,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue3_qfi2,28.071,ok,4,ok,4,ue3_qfi2,0.9712036,ok,0.9998760629369372,proxy,5,0.9997322914783285,47814977.6,ok,0.0027704545454545456,ok,0.9023522727272727,0.0378015625,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue3_qfi9,19.5,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue1_qfi1,0,0,0,217.25,199.62499999999994,data,ok,2.0,0.5,1.0,4,TwoTier,579362555,
