M01.flow,M01.p50,M01.p95,M01.p98,M01.p99,M01.status,M02,M02.status,M03.flow,M03.gap_count_over_t_live,M03.gap_count_over_t_live_over_2,M03.gap_count_over_t_live_over_4,M03.max_gap_ms,M03.role,M03.status,M03.t_live_s,M04.exceeds_threshold,M04.flow,M04.status,M04.threshold_n,M04.worst_consecutive_miss_slots,M05.flow,M05.fraction,M05.frame_count,M05.pdb_ms,M05.status,M06.flow,M06.p95_ms,M06.status,M07.met,M07.status,M07.total,M08.flow,M08.fraction,M08.status,M09.mean,M09.status,M09.windows,M09.worst,M10,M10.status,M11.dl,M11.status,M11.ul,M12,M12.status,M14.flow,M14.fraction,M14.interval_count,M14.pdb_ms,M14.role,M14.status,M14.survival_time_ms,M15.flow,M15.jitter_ms,M15.status,M17.effective_fps,M17.flow,M17.freeze_count,M17.freeze_max_duration_ms,M17.freeze_total_duration_ms,M17.source_fps,M17.status,M17.xr_frame_period_ms,M18,M18.status,M19,M19.status,k2_slots,load_mult,n_ues,scheduler,seed,shared_lcg
ue2_qfi2,3.895,9.507,11.206,12.0,ok,0.0,ok,ue2_qfi1,0,0,0,108.99999999999999,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,12.197,ok,2,ok,2,ue1_qfi2,0.9715788000000001,ok,0.9999907814773584,proxy,5,0.9999842342164328,15897478.4,ok,0.0009772727272727272,ok,0.2344068181818182,0.0173203125,ok,ue2_qfi1,0.5102040816326531,49,100.0,data,ok,0.0,ue1_qfi9,9.25,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,PF,1826701614,False
ue1_qfi9,3.0,10.25,11.5,12.25,ok,0.0,ok,ue2_qfi1,0,0,0,108.0000000000001,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,12.384,ok,2,ok,2,ue1_qfi2,0.9715788000000001,ok,0.9999899577184005,proxy,5,0.999983192571573,15896177.6,ok,0.0010727272727272727,ok,0.3484306818181818,0.0196578125,ok,ue2_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue1_qfi9,9.25,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,Reservation,1826701614,False
ue2_qfi9,3.75,11.0,12.5,13.5,ok,0.0,ok,ue1_qfi1,0,0,0,107.75000000000023,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,12.431,ok,2,ok,2,ue1_qfi2,0.9715788000000001,ok,0.999990405924418,proxy,5,0.9999832085868874,15896774.4,ok,0.0010090909090909091,ok,0.40548636363636364,0.0168859375,ok,ue2_qfi1,0.42857142857142855,49,100.0,data,ok,0.0,ue2_qfi9,9.75,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,TwoTier,1826701614,False
ue2_qfi2,4.108,9.792,11.202,12.0,ok,0.0,ok,ue2_qfi1,0,0,0,106.25000000000017,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,11.921,ok,2,ok,2,ue1_qfi2,0.9733756,ok,0.999990635464824,proxy,5,0.9999815209089143,15937166.4,ok,0.0010113636363636364,ok,0.24634545454545453,0.0206125,ok,ue1_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue1_qfi9,9.0,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,PF,1367864806,False
ue2_qfi9,3.25,10.5,11.75,12.5,ok,0.0,ok,ue2_qfi1,0,0,0,108.0,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,12.572,ok,2,ok,2,ue1_qfi2,0.9733756,ok,0.9999867661133516,proxy,5,0.9999770662421593,15935950.4,ok,0.0011227272727272726,ok,0.35893977272727273,0.0234953125,ok,ue1_qfi1,0.4897959183673469,49,100.0,data,ok,0.0,ue1_qfi9,9.25,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,Reservation,1367864806,False
ue2_qfi9,4.0,11.25,12.5,13.25,ok,0.0,ok,ue2_qfi1,0,0,0,200.4999999999999,data,ok,2.0,False,,proxy,3,0,ue2_qfi2,0.9868421052631579,152,150.0,ok,ue2_qfi2,12.526,ok,2,ok,2,ue1_qfi2,0.9733756,ok,0.9997859380650496,proxy,5,0.9989671159915648,15922817.6,ok,0.001115909090909091,ok,0.4213613636363636,0.0201171875,ok,ue1_qfi1,0.5102040816326531,49,100.0,data,ok,0.0,ue2_qfi9,9.25,ok,30.0,ue2_qfi2,1,67.5,67.5,30.303,ok,33.0,,pending,,pending,4,0.5,2,TwoTier,1367864806,False
ue2_qfi9,2.75,10.0,11.25,12.0,ok,0.0,ok,ue1_qfi1,0,0,0,106.7499999999999,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,11.896,ok,2,ok,2,ue2_qfi2,0.9725992,ok,0.9999858641515266,proxy,5,0.9999761315947813,15893545.6,ok,0.0010659090909090909,ok,0.2590409090909091,0.0219671875,ok,ue2_qfi1,0.42857142857142855,49,100.0,data,ok,0.0,ue2_qfi9,9.25,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,PF,1097657231,False
ue2_qfi9,3.0,10.25,11.5,12.25,ok,0.0,ok,ue1_qfi1,0,0,0,106.75000000000034,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,12.208,ok,2,ok,2,ue2_qfi2,0.9725992,ok,0.9999833559188419,proxy,5,0.9999761626464069,15894035.2,ok,0.0011522727272727273,ok,0.37153977272727273,0.0257125,ok,ue2_qfi1,0.5306122448979592,49,100.0,data,ok,0.0,ue2_qfi9,9.25,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,Reservation,1097657231,False
ue2_qfi9,4.0,11.25,12.5,13.5,ok,0.0,ok,ue1_qfi1,0,0,0,108.0000000000001,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,0.993421052631579,152,150.0,ok,ue1_qfi2,11.697,ok,2,ok,2,ue2_qfi2,0.9725992,ok,0.999987313225882,proxy,5,0.9999789881249616,15888612.8,ok,0.0012204545454545454,ok,0.43743977272727275,0.0214359375,ok,ue2_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue2_qfi9,9.5,ok,30.2,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,TwoTier,1097657231,False
ue2_qfi2,4.076,10.204,10.931,11.901,ok,0.0,ok,ue2_qfi1,0,0,0,106.7499999999999,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,12.076,ok,2,ok,2,ue1_qfi2,0.976886,ok,0.9999894031854547,proxy,5,0.9999828115029236,15899500.8,ok,0.0011090909090909092,ok,0.23698181818181818,0.0177578125,ok,ue2_qfi1,0.40816326530612246,49,100.0,data,ok,0.0,ue2_qfi9,9.0,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,PF,579362555,False
