M01.flow,M01.p50,M01.p95,M01.p98,M01.p99,M01.status,M02,M02.status,M03.flow,M03.gap_count_over_t_live,M03.gap_count_over_t_live_over_2,M03.gap_count_over_t_live_over_4,M03.max_gap_ms,M03.role,M03.status,M03.t_live_s,M04.exceeds_threshold,M04.flow,M04.status,M04.threshold_n,M04.worst_consecutive_miss_slots,M05.flow,M05.fraction,M05.frame_count,M05.pdb_ms,M05.status,M06.flow,M06.p95_ms,M06.status,M07.met,M07.status,M07.total,M08.flow,M08.fraction,M08.status,M09.mean,M09.status,M09.windows,M09.worst,M10,M10.status,M11.dl,M11.status,M11.ul,M12,M12.status,M14.flow,M14.fraction,M14.interval_count,M14.pdb_ms,M14.role,M14.status,M14.survival_time_ms,M15.flow,M15.jitter_ms,M15.status,M17.effective_fps,M17.flow,M17.freeze_count,M17.freeze_max_duration_ms,M17.freeze_total_duration_ms,M17.source_fps,M17.status,M17.xr_frame_period_ms,M18,M18.status,M19,M19.status,bg,scheduler,seed
ue8_qfi9,298.0,300.0,300.25,300.25,ok,0.27686579562656505,ok,ue6_qfi1,0,0,0,136.49999999999994,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue8_qfi2,25.694,ok,8,ok,8,ue2_qfi2,0.9578576,ok,0.9543024085615089,proxy,5,0.9512408963531349,67414070.4,ok,0.004706818181818182,ok,0.9305852272727273,0.0377140625,ok,ue4_qfi1,0.5306122448979592,49,100.0,data,ok,0.0,ue6_qfi1,37.5,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,False,PF,1826701614
ue8_qfi9,298.25,300.0,300.25,300.25,ok,0.2988019244354774,ok,ue3_qfi1,0,0,0,124.49999999999983,data,ok,2.0,False,,proxy,3,0,ue2_qfi2,0.993421052631579,152,150.0,ok,ue8_qfi2,23.033,ok,8,ok,8,ue2_qfi2,0.9569772,ok,0.9514627229538013,proxy,5,0.9490397521732957,66288822.4,ok,0.004277272727272728,ok,0.9315931818181818,0.118921875,ok,ue3_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue8_qfi1,26.5,ok,30.2,ue8_qfi2,1,72.5,72.5,30.303,ok,33.0,,pending,,pending,False,Reservation,1826701614
ue3_qfi9,16.25,43.75,53.0,58.5,ok,0.36307484659081063,ok,ue1_qfi1,0,0,0,115.00000000000021,data,ok,2.0,False,,proxy,3,0,ue6_qfi2,0.0,147,150.0,ok,ue1_qfi2,24.114,ok,5,ok,8,ue6_qfi2,0.0,ok,0.7186851443945305,proxy,5,0.7186351373521844,59522280.0,ok,0.0054863636363636364,ok,0.9303704545454545,0.0381390625,ok,ue1_qfi1,0.5102040816326531,49,100.0,data,ok,0.0,ue3_qfi9,42.25,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,False,TwoTier,1826701614
ue8_qfi9,297.5,299.75,300.0,300.25,ok,0.26603060152368824,ok,ue5_qfi1,0,0,0,140.74999999999972,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue6_qfi2,25.126,ok,8,ok,8,ue3_qfi2,0.959342,ok,0.9565440881646593,proxy,5,0.9451915468659646,68422590.4,ok,0.004922727272727273,ok,0.9315931818181818,0.034859375,ok,ue3_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue5_qfi1,38.5,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,False,PF,1367864806
ue8_qfi9,297.5,300.0,300.25,300.25,ok,0.28524553588117585,ok,ue3_qfi1,0,0,0,126.75000000000037,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue6_qfi2,24.148,ok,8,ok,8,ue3_qfi2,0.9558675999999999,ok,0.9546822615718689,proxy,5,0.9433153034704176,67508340.8,ok,0.004179545454545455,ok,0.9341704545454546,0.109434375,ok,ue2_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue8_qfi1,33.25,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,False,Reservation,1367864806
ue5_qfi9,22.0,56.75,65.75,71.75,ok,0.3649925588148902,ok,ue2_qfi1,0,0,0,112.49999999999983,data,ok,2.0,False,,proxy,3,0,ue6_qfi2,0.0,147,150.0,ok,ue4_qfi2,23.722,ok,5,ok,8,ue6_qfi2,0.0,ok,0.718697102389427,proxy,5,0.7186148668307233,59182825.6,ok,0.0051522727272727276,ok,0.9304147727272727,0.0334171875,ok,ue5_qfi1,0.4489795918367347,49,100.0,data,ok,0.0,ue2_qfi9,51.75,ok,30.2,ue1_qfi2,1,66.5,66.5,30.303,ok,33.0,,pending,,pending,False,TwoTier,1367864806
ue8_qfi9,298.0,300.0,300.0,300.25,ok,0.28292170398563943,ok,ue3_qfi1,0,0,0,121.75000000000003,data,ok,2.0,False,,proxy,3,0,ue2_qfi2,0.993421052631579,152,150.0,ok,ue3_qfi2,25.229,ok,8,ok,8,ue8_qfi2,0.9680356,ok,0.9531655167069714,proxy,5,0.9470962616944628,67031606.4,ok,0.005156818181818182,ok,0.9317522727272727,0.03578125,ok,ue6_qfi1,0.4897959183673469,49,100.0,data,ok,0.0,ue3_qfi1,25.0,ok,30.2,ue2_qfi2,1,69.0,69.0,30.303,ok,33.0,,pending,,pending,False,PF,1097657231
ue7_qfi9,297.0,300.0,300.25,300.25,ok,0.29193479579255505,ok,ue5_qfi1,0,0,0,200.00000000000017,data,ok,2.0,False,,proxy,3,0,ue8_qfi2,0.0,147,150.0,ok,ue1_qfi2,21.979,ok,7,ok,8,ue8_qfi2,0.0,ok,0.8864557310327456,proxy,5,0.8817135685238885,66181462.4,ok,0.004188636363636364,ok,0.9326159090909091,0.0936796875,ok,ue3_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue4_qfi1,24.25,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,False,Reservation,1097657231
ue5_qfi9,18.5,40.0,45.0,50.75,ok,0.3632742565810264,ok,ue3_qfi1,0,0,0,114.74999999999991,data,ok,2.0,False,,proxy,3,0,ue6_qfi2,0.0,147,150.0,ok,ue5_qfi2,21.585,ok,5,ok,8,ue6_qfi2,0.0,ok,0.7186465206983697,proxy,5,0.718608788374565,59617763.2,ok,0.0048386363636363635,ok,0.931696590909091,0.0349671875,ok,ue1_qfi1,0.42857142857142855,49,100.0,data,ok,0.0,ue1_qfi9,33.25,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,False,TwoTier,1097657231
ue8_qfi9,297.75,300.0,300.0,300.25,ok,0.24882266520891325,ok,ue8_qfi1,0,0,0,127.99999999999967,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue8_qfi2,25.0,ok,8,ok,8,ue8_qfi2,0.9636376,ok,0.9622391910026387,proxy,5,0.9578634333020641,70044726.4,ok,0.004856818181818182,ok,0.9310068181818182,0.0344390625,ok,ue1_qfi1,0.4489795918367347,49,100.0,data,ok,0.0,ue8_qfi1,25.5,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,False,PF,579362555
